txn_id,account_id,customer_id,amount,txn_type,txn_date
9001,101,1,5000,DEBIT,10-06-2024
9002,101,1,15000,CREDIT,11-06-2024
9017,101,1,12000,DEBIT,01-08-2024
9023,101,1,3000,CREDIT,01-09-2024
9003,102,1,2000,DEBIT,12-06-2024
9018,102,1,25000,CREDIT,05-08-2024
9004,103,2,25000,CREDIT,15-06-2024
9005,103,2,7500,DEBIT,18-06-2024
9019,103,2,5000,DEBIT,10-08-2024
9006,104,2,12000,CREDIT,20-06-2024
9007,104,2,3000,DEBIT,22-06-2024
9024,104,2,6500,DEBIT,05-09-2024
9008,105,3,45000,CREDIT,01-07-2024
9009,105,3,10000,DEBIT,03-07-2024
9020,105,3,18000,CREDIT,15-08-2024
9010,106,4,8000,DEBIT,05-07-2024
9011,106,4,20000,CREDIT,08-07-2024
9012,107,4,5000,DEBIT,10-07-2024
9021,107,4,7500,CREDIT,18-08-2024
9013,108,5,30000,CREDIT,15-07-2024
9014,108,5,6500,DEBIT,18-07-2024
9022,108,5,9000,DEBIT,20-08-2024
9015,109,5,15000,CREDIT,20-07-2024
9016,109,5,4000,DEBIT,22-07-2024
9025,109,5,22000,CREDIT,10-09-2024
